Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:39,4	0:01:42,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:39:16	00:00:03,1	0,46
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:42,6	0:01:43,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:39:31	00:00:00,9	0,14
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:45,4	0:01:47,9	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:39:49	00:00:02,5	0,37
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:47,9	0:01:51,1	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:40:14	00:00:03,2	0,48
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:52,2	0:01:52,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:41:10	00:00:00,4	0,06
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:52,6	0:02:21,7	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:42:36	00:00:29,1	4,29
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:02:22,6	0:02:44,1	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:45:10	00:00:21,5	3,17
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen	0:02:31,4	0:02:48,7	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:44:33	00:00:17,3	2,55
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen\reacted\nonverbal	0:02:47,2	0:02:51,2	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:46:05	00:00:03,9	0,58
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen\reacted	0:02:47,2	0:02:51,2	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:46:07	00:00:03,9	0,58
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:02:47,2	0:02:48,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:46:21	00:00:01,0	0,15
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:02:47,6	0:02:50,4	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:46:38	00:00:02,8	0,41
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:02:50,4	0:02:51,1	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:46:50	00:00:00,7	0,10
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:02:54,7	0:02:58,5	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:47:16	00:00:03,8	0,56
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:02:59,0	0:03:03,1	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:47:42	00:00:04,1	0,60
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:03:02,5	0:03:03,8	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:47:59	00:00:01,2	0,18
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:03:03,8	0:03:06,8	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:48:18	00:00:02,9	0,43
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:03:04,8	0:03:05,4	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:48:32	00:00:00,6	0,09
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:03:07,8	0:03:09,1	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:49:06	00:00:01,2	0,19
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:03:07,8	0:03:10,8	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:49:24	00:00:02,9	0,44
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:03:12,6	0:03:18,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:49:37	00:00:06,0	0,88
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	Phase\teachers lecture	0:03:18,1	0:06:19,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 14:12:04	00:03:01,1	26,65
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\drawing	0:03:22,1	0:03:45,9	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:50:47	00:00:23,7	3,50
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:03:20,4	0:03:41,8	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:51:32	00:00:21,4	3,15
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\drawing\perceived	0:03:39,6	0:03:39,8	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:52:02	00:00:00,1	0,03
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\drawing\reacted\nonverbal	0:03:39,8	0:03:45,5	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:52:27	00:00:05,6	0,83
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\drawing\reacted	0:03:39,8	0:03:45,5	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:52:29	00:00:05,6	0,83
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\drawing\reacted\verbal	0:03:40,4	0:03:43,5	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:52:49	00:00:03,0	0,45
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:03:43,7	0:03:44,8	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:52:59	00:00:01,0	0,16
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:03:45,9	0:04:19,5	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:53:57	00:00:33,6	4,96
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\asking question	0:04:21,6	0:04:24,5	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:54:25	00:00:02,8	0,42
