Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:07:08,0	0:07:08,7	0		empshiwi	15.10.2020 11:02:02	empshiwi	15.10.2020 11:02:02	00:00:00,6	0,10
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:07:09,4	0:07:10,1	0		empshiwi	15.10.2020 11:02:24	empshiwi	15.10.2020 11:02:24	00:00:00,6	0,10
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:07:12,5	0:07:13,5	0		empshiwi	15.10.2020 11:02:39	empshiwi	15.10.2020 11:02:39	00:00:01,0	0,14
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:07:13,9	0:07:14,3	0		empshiwi	15.10.2020 11:02:46	empshiwi	15.10.2020 11:02:46	00:00:00,3	0,05
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:07:15,0	0:07:15,8	0		empshiwi	15.10.2020 11:03:06	empshiwi	15.10.2020 11:03:06	00:00:00,7	0,11
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:07:15,6	0:07:20,2	0		empshiwi	15.10.2020 11:03:16	empshiwi	15.10.2020 11:03:16	00:00:04,5	0,64
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\looking at phone\reacted	0:07:04,7	0:07:20,2	0		empshiwi	15.10.2020 11:04:36	empshiwi	15.10.2020 11:04:36	00:00:15,5	2,20
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\looking at phone\reacted\nonverbal	0:07:04,7	0:07:20,2	0		empshiwi	15.10.2020 11:04:38	empshiwi	15.10.2020 11:04:38	00:00:15,5	2,20
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:07:21,4	0:07:34,4	0		empshiwi	15.10.2020 11:06:43	empshiwi	15.10.2020 11:06:43	00:00:12,9	1,83
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:07:35,0	0:07:36,8	0		empshiwi	15.10.2020 11:06:53	empshiwi	15.10.2020 11:06:53	00:00:01,7	0,24
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:07:38,3	0:07:40,5	0		empshiwi	15.10.2020 11:07:04	empshiwi	15.10.2020 11:07:04	00:00:02,1	0,30
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:07:41,2	0:08:01,6	0		empshiwi	15.10.2020 11:07:32	empshiwi	15.10.2020 11:07:32	00:00:20,4	2,90
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:08:02,1	0:08:04,1	0		empshiwi	15.10.2020 11:07:48	empshiwi	15.10.2020 11:07:48	00:00:01,9	0,27
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:08:05,0	0:08:08,8	0		empshiwi	15.10.2020 11:08:01	empshiwi	15.10.2020 11:08:01	00:00:03,7	0,52
