Recording	Participant	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	643	519390	520209	820	Material	1	0,47253	0,51369	2,85158
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	644	520609	520769	160	Material	1	0,54029	0,90778	2,82132
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	645	520789	520929	140	Material	1	0,51071	0,94401	2,82908
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	646	522728	522908	180	Board	1	0,32904	0,41511	2,90342
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	647	522928	523208	280	Board	1	0,35858	0,42239	2,91423
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	648	523228	523827	600	Board	1	0,42998	0,25547	2,89523
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	649	523867	524087	220	Board	1	0,39414	0,44056	2,91514
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	650	524127	524347	220	Board	1	0,4987	0,36236	2,95378
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	651	524367	529124	4757	Board	1	0,46399	0,4151	2,81269
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	652	529244	529324	80	Board	1	0,39843	0,79236	2,79474
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	653	529584	529664	80	Board	1	0,19718	0,70339	2,87379
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	654	529684	529764	80	Board	1	0,24939	0,71832	2,94338
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	655	529804	530024	220	Board	1	0,33011	0,66103	2,84334
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	656	530184	530283	100	Board	1	0,33165	0,94373	3,48267
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	657	530303	530443	140	Board	1	0,34881	0,82179	2,90125
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	658	530523	530843	320	Board	1	0,38825	0,80296	2,85349
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	659	531363	531463	100	StudentA	1	0,72262	0,35676	2,94929
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	660	531483	531563	80	StudentA	1	0,72554	0,28783	2,98701
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	661	531583	531663	80	StudentA	1	0,65878	0,35886	2,95121
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	662	531683	531902	220	StudentA	1	0,7562	0,22067	2,9911
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	663	531942	532022	80	StudentA	1	0,75784	0,34934	3,08116
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	664	532102	532302	200	StudentA	1	0,77973	0,13652	3,03311
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	665	532362	532802	440	StudentA	1	0,52242	0,06952	3,00849
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	666	532822	533122	300	StudentA	1	0,45269	0,09229	2,97897
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	667	533202	535141	1939	StudentA	1	0,46983	0,16124	2,92025
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	668	535400	535600	200	StudentC	1	0,51832	0,08034	2,99768
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	669	535640	535720	80	StudentB	1	0,42475	0,09522	3,04721
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	670	535900	536240	340	StudentA	1	0,44128	0,0976	3,01474
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	671	536520	537020	500	StudentC	1	0,63174	0,04518	3,06344
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	672	537159	537239	80	StudentB	1	0,49261	0,17405	2,99801
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	673	537279	537779	500	StudentA	1	0,36315	0,17814	3,00203
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	674	537899	538419	520	StudentB	1	0,48675	0,14779	2,9558
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	675	538599	539198	600	StudentA	1	0,44881	0,11217	2,95161
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	676	539398	539818	420	StudentC	1	0,60063	0,04478	2,9919
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	677	539878	540557	680	StudentC	1	0,56657	0,05879	3,02088
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	678	540797	543016	2219	StudentA	1	0,38726	0,09655	2,9464
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	679	543136	543356	220	StudentB	1	0,52853	0,07323	2,93667
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	680	543396	543636	240	StudentC	1	0,5117	0,0833	2,94277
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	681	544055	544475	420	Board	1	0,52193	0,32777	2,93218
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	682	544495	544855	360	Board	1	0,54876	0,448	2,88599
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	683	544875	545095	220	Board	1	0,58222	0,34136	2,89322
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	684	545135	545255	120	Board	1	0,4839	0,26019	2,89716
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	685	545335	545415	80	Board	1	0,27444	0,2488	2,97994
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	686	545435	545575	140	Board	1	0,3598	0,20661	2,92387
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	687	545774	546054	280	Board	1	0,57922	0,35539	2,90804
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	688	546074	546554	480	Board	1	0,49902	0,41	2,85842
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	689	546574	552850	6276	Board	1	0,55089	0,44449	2,85386
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	690	552910	553210	300	Board	1	0,47555	0,28424	2,8358
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	691	553250	553410	160	Board	1	0,54452	0,37598	2,82998
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	692	553450	554289	840	Board	1	0,61511	0,34704	2,86232
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	693	554329	554669	340	Board	1	0,50963	0,29463	2,84088
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	694	554709	555109	400	Board	1	0,60531	0,25818	2,84634
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	695	555149	555309	160	Board	1	0,513	0,23961	2,86876
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	696	555789	556128	340	StudentC	1	0,48754	0,1768	2,96988
